dataset,feature,n,rho,p
COPAS,nasal_dprime,157,-0.4452,0.0
COPAS,sonorant_dprime,190,-0.3253,5e-06
COPAS,voicing_dprime,187,-0.4134,0.0
COPAS,strident_dprime,141,-0.4779,0.0
COPAS,manner_dprime,169,-0.4158,0.0
LibriSpeech_English,nasal_dprime,150,,
LibriSpeech_English,sonorant_dprime,150,,
LibriSpeech_English,voicing_dprime,150,,
LibriSpeech_English,strident_dprime,150,,
LibriSpeech_English,manner_dprime,150,,
MDSC,nasal_dprime,56,-0.9225,0.0
MDSC,sonorant_dprime,56,-0.8788,0.0
MDSC,voicing_dprime,56,-0.8873,0.0
MDSC,strident_dprime,56,-0.9027,0.0
MDSC,manner_dprime,56,-0.9086,0.0
Neurovoz,nasal_dprime,111,-0.4283,3e-06
Neurovoz,sonorant_dprime,111,-0.5142,0.0
Neurovoz,voicing_dprime,111,-0.3653,8.1e-05
Neurovoz,strident_dprime,111,-0.3752,5e-05
Neurovoz,manner_dprime,111,-0.3494,0.00017
PC-GITA,nasal_dprime,100,-0.1191,0.23779
PC-GITA,sonorant_dprime,100,-0.4203,1.3e-05
PC-GITA,voicing_dprime,100,-0.2777,0.005151
PC-GITA,strident_dprime,100,-0.3091,0.001752
PC-GITA,manner_dprime,100,-0.0365,0.718253
SAP,nasal_dprime,188,-0.3817,0.0
SAP,sonorant_dprime,188,-0.4042,0.0
SAP,voicing_dprime,188,-0.3742,0.0
SAP,strident_dprime,188,-0.4006,0.0
SAP,manner_dprime,188,-0.3936,0.0
TORGO,nasal_dprime,15,-0.602,0.017566
TORGO,sonorant_dprime,15,-0.7354,0.001783
TORGO,voicing_dprime,15,-0.642,0.009865
TORGO,strident_dprime,15,-0.6154,0.014612
TORGO,manner_dprime,15,-0.6325,0.011396
UASPEECH,nasal_dprime,15,-0.6547,0.008089
UASPEECH,sonorant_dprime,15,-0.7529,0.001198
UASPEECH,voicing_dprime,15,-0.6547,0.008089
UASPEECH,strident_dprime,15,-0.7856,0.000518
UASPEECH,manner_dprime,15,-0.7201,0.002464
UASPEECH_control,nasal_dprime,13,,
UASPEECH_control,sonorant_dprime,13,,
UASPEECH_control,voicing_dprime,13,,
UASPEECH_control,strident_dprime,13,,
UASPEECH_control,manner_dprime,13,,
YouTube_French,nasal_dprime,24,-0.261,0.218047
YouTube_French,sonorant_dprime,24,-0.1744,0.414965
YouTube_French,voicing_dprime,24,-0.1013,0.637637
YouTube_French,strident_dprime,24,-0.2167,0.309122
YouTube_French,manner_dprime,24,-0.2053,0.335885
